"Iteration","Variable_Removed","RMSE","R2","SYNOPCode"
11,"WindSpeedMax",0.797586445373524,0.99273966595449,"3"
12,"AbsoluteHumidity",0.836022947816868,0.991985468874368,"3"
13,"AbsoluteHumidityMax",0.811587116807449,0.99292961419527,"3"
14,"AbsoluteHumidityMin",0.757191977342397,0.993288775695614,"3"
15,"RelativeHumidity",0.797604728197045,0.992924090916726,"3"
16,"TemperatureMin",0.906498337434118,0.9908069960694,"3"
17,"TemperatureMax",0.908417573638518,0.990925263181768,"3"
18,"TemperatureDifference",1.0550511598391,0.986483192719719,"3"
19,"VisibilityMax",1.14948341223049,0.983132992514851,"3"
20,"Distance",1.25199244424009,0.981947221019872,"3"
21,"Visibility",1.17815613886255,0.983219082871099,"3"
22,"Temperature",1.07765653238762,0.987003662327739,"3"
23,"VisibilityMin",1.955951158884,0.950214644731996,"3"
1,"Frequency",0.303190851649252,0.994460857902606,"4"
2,"RainIntensityMax",0.299103720745452,0.994573881762636,"4"
3,"WindDirection",0.296301045802456,0.994747459223919,"4"
4,"RainIntensityMin",0.293253082873837,0.994748929188639,"4"
5,"RainIntensity",0.296237092495824,0.994651356346507,"4"
6,"AbsoluteHumidityMax",0.306300043270335,0.994299849146205,"4"
7,"AbsoluteHumidityMin",0.273745512005385,0.995440885059686,"4"
8,"VisibilityMax",0.309444040755465,0.994120835729232,"4"
9,"WindSpeedMin",0.309049644707021,0.994149372933253,"4"
10,"AbsoluteHumidity",0.293817004440036,0.994742349112757,"4"
11,"VisibilityMin",0.297101989342221,0.994600995823384,"4"
12,"TemperatureMax",0.29862421004066,0.994582480193849,"4"
13,"ParticulateMin",0.29798736288414,0.994635440862064,"4"
14,"RelativeHumidity",0.297025074343516,0.994709572687549,"4"
15,"TemperatureDifference",0.321903399662867,0.993744753869823,"4"
16,"Particulate",0.301096173405258,0.99445093501228,"4"
17,"Distance",0.322343271358856,0.994104901723652,"4"
18,"Time",0.34659969754377,0.992988053720066,"4"
19,"WindSpeedMax",0.376889590547078,0.991518413707114,"4"
20,"WindSpeed",0.454335268835522,0.988820743108961,"4"
21,"Temperature",0.445315899413178,0.988460448654853,"4"
22,"ParticulateMax",0.444220908030789,0.988319415378838,"4"
23,"TemperatureMin",0.576342002227741,0.979613431262484,"4"
1,"Frequency",0.521840171722443,0.990480050966175,"7"
2,"WindDirection",0.517772920021005,0.990863998189971,"7"
3,"Distance",0.525068222876819,0.990508449751768,"7"
4,"RainIntensity",0.520236139912148,0.990713942914042,"7"
5,"RainIntensityMax",0.508069825040472,0.991228911074512,"7"
6,"AbsoluteHumidityMin",0.514041815733324,0.990791454882171,"7"
7,"AbsoluteHumidity",0.474990338017959,0.992116571677623,"7"
8,"RainIntensityMin",0.470197403049881,0.99250636294724,"7"
9,"AbsoluteHumidityMax",0.487482791765439,0.991865351268986,"7"
10,"WindSpeed",0.517798539029653,0.990761465282928,"7"
11,"VisibilityMin",0.475834310637278,0.992184363516894,"7"
12,"WindSpeedMin",0.48745000374262,0.991738164856049,"7"
13,"Time",0.507007835760738,0.990975639114341,"7"
14,"VisibilityMax",0.521097938460631,0.990543705463913,"7"
15,"ParticulateMax",0.513711852138552,0.990814254783461,"7"
16,"ParticulateMin",0.476185883907705,0.992306071439684,"7"
17,"TemperatureMax",0.520278642994783,0.99157542258206,"7"
18,"RelativeHumidity",0.471592756746321,0.992847270073858,"7"
19,"TemperatureDifference",0.445573894671661,0.99328943639403,"7"
20,"Temperature",0.611487538677783,0.988859458548153,"7"
21,"Visibility",0.635263601717729,0.987510965352179,"7"
22,"WindSpeedMax",0.715925376094193,0.983086919117357,"7"
23,"TemperatureMin",0.826094832710491,0.977040347262902,"7"
