"Iteration","Variable_Removed","RMSE","R2","SYNOPCode"
12,"TemperatureMin",0.270448106582734,0.99201247263848,"3"
13,"Visibility",0.258128409730347,0.992796719113089,"3"
14,"Distance",0.242656314841204,0.993638623917358,"3"
15,"AbsoluteHumidityMin",0.245300003395688,0.993458668233729,"3"
16,"Time",0.261332984259212,0.99260137027199,"3"
17,"VisibilityMax",0.259446742946686,0.992740821286648,"3"
18,"AbsoluteHumidity",0.315529742332841,0.98919780695182,"3"
19,"TemperatureDifference",0.255183022342287,0.992911875849569,"3"
20,"Frequency",0.407629054644196,0.987325201467053,"3"
21,"RelativeHumidity",0.286207729774509,0.991090333709909,"3"
22,"Temperature",0.340314583453588,0.987059358299662,"3"
23,"TemperatureMax",0.341770976796044,0.987208167320777,"3"
1,"WindDirection",0.173439410049214,0.989791940482262,"4"
2,"WindSpeed",0.170517810071195,0.99013131251417,"4"
3,"Distance",0.18396005001231,0.988533340884723,"4"
4,"TemperatureDifference",0.174578189496566,0.989667016938111,"4"
5,"ParticulateMax",0.165888988577237,0.99072553557718,"4"
6,"WindSpeedMin",0.168951002906293,0.990523516879923,"4"
7,"WindSpeedMax",0.162631899666163,0.991130308105542,"4"
8,"VisibilityMax",0.178859716921321,0.989106731594698,"4"
9,"Frequency",0.170678567161548,0.990194639587522,"4"
10,"AbsoluteHumidityMin",0.176111355250002,0.989509368564037,"4"
11,"Time",0.184826014551168,0.988244244469061,"4"
12,"Particulate",0.180617630310025,0.988741148561064,"4"
13,"ParticulateMin",0.182605444455948,0.988534259016714,"4"
14,"VisibilityMin",0.186854079371945,0.98815478566477,"4"
15,"TemperatureMax",0.198166181968413,0.986384212555338,"4"
16,"AbsoluteHumidityMax",0.179887186895088,0.988884665559512,"4"
17,"TemperatureMin",0.193424769483018,0.987265984533551,"4"
18,"Temperature",0.196663284322372,0.986869776126697,"4"
19,"RainIntensityMax",0.208142419627224,0.985630622010907,"4"
20,"RainIntensityMin",0.266967545492149,0.978134992298502,"4"
21,"RelativeHumidity",0.230819113800882,0.983945766467346,"4"
22,"Visibility",0.248072401104313,0.979630169772724,"4"
23,"RainIntensity",0.346465447538134,0.959577607999541,"4"
1,"WindDirection",0.140020429533465,0.992383716220141,"7"
2,"WindSpeedMin",0.145183192068707,0.991923187109179,"7"
3,"Distance",0.143846307210577,0.991393582742901,"7"
4,"TemperatureMin",0.140111470048399,0.992602996301554,"7"
5,"WindSpeed",0.137600382210267,0.99243055709362,"7"
6,"TemperatureMax",0.140044858418893,0.992164312718725,"7"
7,"Visibility",0.142442815643913,0.991891198821068,"7"
8,"VisibilityMax",0.138564452072103,0.992418901963476,"7"
9,"Particulate",0.139243490477414,0.992632402963744,"7"
10,"Temperature",0.134109538954245,0.993137113805853,"7"
11,"VisibilityMin",0.145277471080465,0.991675662791196,"7"
12,"ParticulateMin",0.142927607022651,0.991805056968806,"7"
13,"AbsoluteHumidityMax",0.143020535719102,0.991607091883996,"7"
14,"ParticulateMax",0.144940639482139,0.991427021271931,"7"
15,"RainIntensityMax",0.148889954973074,0.99132544977913,"7"
16,"AbsoluteHumidityMin",0.144471687274334,0.991712375680791,"7"
17,"WindSpeedMax",0.148228352182295,0.991222400303891,"7"
18,"Frequency",0.146324971485561,0.991485552786658,"7"
19,"Time",0.157596852429635,0.98969229543649,"7"
20,"RainIntensityMin",0.185031194511834,0.986993073960577,"7"
21,"RelativeHumidity",0.187058710552757,0.987405926321289,"7"
22,"TemperatureDifference",0.181113016194932,0.986689398113679,"7"
23,"AbsoluteHumidity",0.284659864495755,0.96603046112644,"7"
